fold,eff_num_leaves,eff_lr,eff_min_node,eff_rounds,eff_inner_rmse
1,7,0.05,50,29,0.3166
2,15,0.02,10,34,0.3671
3,7,0.05,20,32,0.2865
4,31,0.02,10,13,0.2987
5,7,0.05,100,10,0.3293
6,7,0.02,100,53,0.3359
7,7,0.02,20,70,0.3384
8,15,0.05,20,32,0.3054
9,15,0.05,50,3,0.2883
10,7,0.05,50,5,0.2784
11,15,0.05,50,5,0.2775
12,31,0.05,10,3,0.2815
13,63,0.05,10,4,0.2857
14,31,0.05,10,10,0.2813
15,7,0.05,10,71,0.2657
16,7,0.05,10,52,0.2731
17,15,0.02,50,30,0.2932
18,63,0.02,10,11,0.3224
19,7,0.02,100,56,0.3289
20,7,0.05,10,14,0.3371
21,7,0.05,10,23,0.32
22,7,0.05,100,59,0.318
23,15,0.05,10,72,0.2971
24,15,0.05,10,46,0.3187
25,31,0.05,10,23,0.3165
26,31,0.05,10,23,0.3106
27,15,0.05,20,33,0.3226
28,7,0.02,10,75,0.3391
29,7,0.02,50,42,0.3347
30,7,0.05,100,40,0.3336
31,7,0.05,100,40,0.3332
32,63,0.05,10,3,0.329
33,31,0.05,50,5,0.3352
34,31,0.05,50,12,0.3334
35,15,0.05,10,7,0.3164
36,15,0.05,10,7,0.314
37,7,0.05,10,38,0.325
38,31,0.05,10,14,0.312
39,7,0.02,10,115,0.3041
40,31,0.05,10,19,0.2958
41,31,0.05,10,19,0.2976
42,15,0.05,100,10,0.2944
43,7,0.05,100,29,0.3018
44,31,0.05,50,33,0.2994
45,15,0.05,50,42,0.3018
46,15,0.05,50,43,0.3003
47,15,0.02,50,106,0.3061
48,63,0.02,50,90,0.3023
49,15,0.02,20,90,0.3144
50,15,0.05,10,41,0.3273
51,15,0.05,10,42,0.3291
52,15,0.05,10,56,0.3249
53,7,0.05,100,76,0.3289
54,63,0.02,10,80,0.3226
55,15,0.05,50,30,0.3231
56,15,0.05,50,30,0.3229
57,7,0.02,100,100,0.3271
58,63,0.05,50,37,0.3277
59,7,0.05,50,63,0.3248
60,31,0.02,100,102,0.3345
61,31,0.02,100,102,0.3341
62,31,0.02,100,104,0.3276
63,7,0.05,100,71,0.326
64,31,0.02,100,99,0.3184
65,7,0.05,100,55,0.3232
66,15,0.05,50,21,0.322
67,15,0.05,100,49,0.3224
68,7,0.02,100,135,0.3251
69,7,0.05,100,63,0.3315
70,7,0.05,20,59,0.3327
71,7,0.05,20,59,0.3295
72,7,0.02,100,140,0.3234
73,15,0.05,100,28,0.3256
74,7,0.02,100,130,0.325
75,7,0.02,20,126,0.3183
76,7,0.02,20,124,0.3174
77,7,0.05,20,40,0.3186
78,7,0.02,50,176,0.3198
79,7,0.05,10,81,0.3163
80,7,0.02,10,214,0.3208
81,7,0.02,10,213,0.3207
82,7,0.02,10,128,0.3243
83,7,0.05,10,79,0.325
84,7,0.05,10,95,0.328
85,7,0.02,20,170,0.3243
86,7,0.02,20,170,0.3227
87,7,0.02,20,170,0.3214
88,31,0.05,20,31,0.3203
89,7,0.05,20,54,0.3261
90,7,0.02,20,155,0.3289
91,7,0.02,10,203,0.3282
92,7,0.05,20,38,0.327
93,7,0.02,10,96,0.3213
94,15,0.02,20,46,0.3233
95,7,0.05,20,27,0.3267
96,7,0.05,20,27,0.3285
97,7,0.02,10,95,0.3289
98,31,0.05,10,27,0.3269
99,31,0.05,10,20,0.3259
100,7,0.05,20,36,0.3239
101,7,0.05,20,36,0.3205
102,15,0.02,50,61,0.3196
103,7,0.05,10,47,0.3162
104,63,0.05,50,25,0.3151
105,15,0.05,50,15,0.3146
106,15,0.05,50,15,0.3132
107,7,0.02,10,83,0.3188
108,7,0.05,100,33,0.3212
109,7,0.05,10,35,0.3177
110,15,0.02,10,67,0.3277
111,15,0.02,10,67,0.3285
112,7,0.05,10,55,0.3271
113,7,0.05,10,49,0.3252
114,7,0.02,10,88,0.3244
115,15,0.05,100,21,0.3253
116,15,0.05,100,21,0.3215
117,15,0.05,20,58,0.3225
118,31,0.05,10,43,0.3226
119,7,0.05,10,76,0.3202
120,7,0.05,50,57,0.3185
121,15,0.02,100,79,0.3186
122,7,0.05,100,25,0.3184
123,7,0.05,100,45,0.32
124,7,0.02,20,95,0.3211
125,63,0.05,20,17,0.3219
126,31,0.05,20,14,0.3197
127,63,0.05,10,12,0.3202
128,7,0.05,10,45,0.3228
129,15,0.05,10,43,0.3225
130,31,0.02,10,90,0.3223
131,7,0.02,10,110,0.3245
132,7,0.02,100,104,0.3217
133,15,0.02,10,90,0.3234
134,7,0.05,10,51,0.3196
135,7,0.02,100,145,0.3184
136,7,0.02,20,145,0.3179
137,7,0.05,20,57,0.317
138,7,0.05,100,56,0.3089
139,15,0.05,20,82,0.3075
140,15,0.02,100,87,0.3059
141,7,0.02,50,170,0.3076
142,15,0.02,20,95,0.308
143,7,0.02,20,133,0.3065
144,31,0.05,20,33,0.3059
145,15,0.05,100,45,0.3092
146,15,0.05,100,45,0.3091
147,63,0.02,20,88,0.3121
148,63,0.05,50,21,0.3151
149,31,0.05,100,15,0.3133
150,7,0.05,100,39,0.3148
151,7,0.05,100,42,0.3155
152,31,0.05,100,21,0.3158
153,7,0.02,10,171,0.316
154,7,0.05,10,64,0.317
155,7,0.05,50,78,0.3171
156,7,0.05,20,73,0.3194
157,15,0.05,10,50,0.3181
158,7,0.05,10,69,0.3183
159,15,0.05,20,43,0.318
160,7,0.05,100,48,0.3169
161,7,0.05,100,48,0.3154
162,15,0.02,100,85,0.3137
163,31,0.05,10,32,0.313
164,15,0.05,50,27,0.3088
165,63,0.05,50,18,0.3086
166,63,0.05,50,19,0.311
167,7,0.02,100,84,0.3094
168,15,0.02,100,104,0.3112
169,63,0.05,50,17,0.312
170,63,0.02,20,42,0.3118
171,31,0.02,20,45,0.312
172,7,0.02,100,77,0.3141
173,7,0.05,100,40,0.3179
174,7,0.05,10,49,0.3176
175,7,0.05,100,40,0.3188
176,7,0.05,100,39,0.3215
177,7,0.02,10,105,0.3189
178,7,0.02,20,110,0.3192
179,7,0.02,50,88,0.32
180,7,0.02,100,136,0.3197
181,7,0.02,100,135,0.3202
182,31,0.05,10,25,0.3198
183,15,0.05,100,26,0.3202
184,7,0.02,10,144,0.3211
185,7,0.02,50,99,0.3191
186,7,0.02,50,99,0.3181
187,7,0.05,100,50,0.3189
188,7,0.02,10,100,0.3172
189,15,0.02,10,99,0.3172
190,15,0.05,50,30,0.3168
191,15,0.05,50,30,0.3157
192,7,0.05,10,50,0.3144
193,7,0.05,10,39,0.3126
194,7,0.05,10,36,0.3138
195,31,0.05,20,26,0.3142
196,31,0.05,20,34,0.3141
197,63,0.05,10,28,0.3143
198,15,0.05,10,25,0.3137
199,7,0.05,10,47,0.3166
200,15,0.05,10,44,0.3148
201,15,0.05,10,51,0.3147
202,15,0.05,10,38,0.3154
203,7,0.05,10,76,0.3155
204,7,0.02,20,115,0.3185
